"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
2,2,17,1,5,2016,"33275_2",5,6
1,1,19,1,19,2016,"33303_1",4,19
2,2,11,1,19,2016,"33303_2",3,19
1,1,32,1,2,2016,"33335_1",4,2
2,2,31,1,2,2016,"33335_2",3,2
1,3,54,2,2,2016,"33335_3",5,2
1,3,59,2,2,2016,"33335_4",4,2
1,1,42,2,2,2016,"33336_3",3,2
2,4,15,4,2,2016,"33336_2",2,2
1,1,11,1,2,2016,"33348_1",2,2
2,2,16,1,2,2016,"33348_2",2,2
2,1,27,4,11,2016,"33451_5",3,11
1,3,54,2,11,2016,"33451_3",4,11
2,3,64,2,11,2016,"33451_4",3,11
1,1,8,3,11,2016,"33455_1",4,11
2,1,6,2,11,2016,"33479_1",4,11
2,4,8,2,11,2016,"33479_2",4,11
2,1,9,3,16,2016,"33644_1",2,16
2,1,2,4,20,2016,"33823_1",2,20
2,1,18,4,8,2016,"33839_2",3,8
2,1,35,1,19,2016,"33877_2",4,19
1,2,30,1,19,2016,"33877_1",4,19
1,1,23,1,19,2016,"33882_1",3,19
2,2,31,1,19,2016,"33882_2",3,19
1,1,11,1,4,2016,"33937_1",2,11
2,2,19,1,4,2016,"33937_2",2,11
1,1,21,1,4,2016,"33985_1",5,4
2,2,26,1,4,2016,"33985_2",5,4
1,3,60,2,4,2016,"33985_5",5,4
1,1,18,1,4,2016,"33994_1",3,4
2,2,22,1,4,2016,"33994_2",3,4
1,3,47,2,4,2016,"33994_4",4,4
1,1,23,4,3,2016,"34059_1",4,3
1,1,20,2,5,2016,"34252_1",3,5
1,1,10,1,8,2016,"34732_1",2,8
2,2,15,1,8,2016,"34732_2",2,8
2,1,9,4,8,2016,"34778_2",2,8
1,3,35,2,8,2016,"34778_3",4,8
1,1,25,1,19,2016,"34825_1",3,19
2,2,26,1,19,2016,"34825_2",4,3
2,1,39,1,16,2016,"34900_2",3,16
1,2,35,1,16,2016,"34900_1",3,16
2,3,65,2,16,2016,"34900_3",4,16
1,3,73,2,16,2016,"34900_4",3,16
1,1,13,4,14,2016,"35005_1",3,8
1,3,53,2,14,2016,"35005_3",3,14
2,1,38,1,7,2016,"35022_2",3,7
1,2,38,1,7,2016,"35022_1",3,7
1,3,64,2,7,2016,"35022_5",4,7
1,1,30,1,14,2016,"35032_1",3,10
2,2,32,1,14,2016,"35032_2",4,14
1,3,59,2,14,2016,"35032_3",5,14
1,3,61,2,14,2016,"35032_4",4,14
1,1,11,1,20,2016,"35234_1",3,20
2,1,9,4,5,2016,"35319_2",1,5
1,1,2,1,5,2016,"35322_1",2,5
2,2,9,1,5,2016,"35322_2",2,5
2,1,9,1,5,2016,"35323_2",2,5
1,2,9,1,5,2016,"35323_1",2,5
1,1,8,2,10,2016,"35326_3",4,10
2,4,4,2,10,2016,"35326_4",4,10
2,1,10,4,10,2016,"35340_2",2,10
2,1,4,4,10,2016,"35349_2",1,10
2,1,5,4,10,2016,"35355_2",2,10
2,1,27,1,10,2016,"35372_2",3,1
1,2,21,1,10,2016,"35372_1",3,10
1,3,47,2,10,2016,"35372_3",3,1
2,1,54,2,10,2016,"35374_3",5,10
2,4,25,4,10,2016,"35374_2",4,10
